model-1643279507,1643279574.627,0.56,0.2354,0.53,0.2527
model-1643279507,1643279575.274,0.5,0.2546,0.57,0.2472
model-1643279507,1643279575.92,0.61,0.2418,0.55,0.2437
model-1643279507,1643279576.566,0.6,0.2359,0.59,0.2452
model-1643279507,1643279577.214,0.51,0.2462,0.61,0.237
model-1643279507,1643279577.86,0.57,0.2477,0.65,0.2312
model-1643279507,1643279578.506,0.55,0.2386,0.56,0.2426
model-1643279507,1643279579.153,0.62,0.2355,0.64,0.2297
model-1643279507,1643279579.8,0.58,0.2445,0.65,0.2241
model-1643279507,1643279580.445,0.68,0.2269,0.53,0.2341
model-1643279507,1643279581.092,0.56,0.2334,0.64,0.239
model-1643279507,1643279581.738,0.57,0.2376,0.6,0.2359
model-1643279507,1643279582.384,0.65,0.2254,0.62,0.227
model-1643279507,1643279583.031,0.59,0.2389,0.6,0.2325
model-1643279507,1643279583.677,0.69,0.2179,0.57,0.2522
model-1643279507,1643279584.324,0.59,0.2388,0.59,0.2488
model-1643279507,1643279584.97,0.61,0.229,0.72,0.2035
model-1643279507,1643279585.617,0.58,0.2311,0.66,0.2241
model-1643279507,1643279586.262,0.54,0.2501,0.61,0.2264
model-1643279507,1643279586.908,0.6,0.2447,0.61,0.2235
model-1643279507,1643279587.553,0.5,0.2684,0.55,0.2415
model-1643279507,1643279588.199,0.61,0.2416,0.61,0.2474
model-1643279507,1643279588.854,0.64,0.2296,0.6,0.2282
model-1643279507,1643279589.5,0.61,0.2406,0.62,0.2376
model-1643279507,1643279590.145,0.56,0.2388,0.57,0.237
model-1643279507,1643279590.791,0.61,0.2334,0.61,0.2303
model-1643279507,1643279591.437,0.51,0.2529,0.57,0.2432
model-1643279507,1643279592.084,0.59,0.2332,0.55,0.2473
model-1643279507,1643279592.73,0.57,0.2412,0.52,0.2529
model-1643279507,1643279593.378,0.65,0.2254,0.59,0.2339
model-1643279507,1643279594.023,0.52,0.2458,0.49,0.2506
model-1643279507,1643279594.669,0.62,0.2335,0.57,0.2405
model-1643279507,1643279595.313,0.5,0.2513,0.7,0.2214
model-1643279507,1643279595.959,0.59,0.2407,0.59,0.2375
model-1643279507,1643279596.605,0.69,0.2226,0.62,0.2266
